HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude,Xstart,Ystart,Xend,Yend,Link,featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label,,,,,,,,,,
N/A,,Arfit,Dhofar,Norway,,,-76.7709179971853,53.224827515067,-76.7509179971853,53.244827515067,-76.7909179971853,53.204827515067,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=53.244827515067,-76.7509179971853&visible=53.204827515067,-76.7909179971853",Lake,4,Lake Sakami,L. Sakami,,,,,-99,,4,5,,,,,,,,,,
N/A,,,,,,,-97.4814590690484,52.4006079590984,-97.4614590690484,52.4206079590984,-97.5014590690484,52.3806079590984,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=52.4206079590984,-97.4614590690484&visible=52.3806079590984,-97.5014590690484",Lake,0,Lake Winnipeg,L. Winnipeg,,,,,-99,,1,3,,,,,,,,,,
N/A,,,,,,,-105.044335174076,21.8036646747148,-105.024335174076,21.8236646747148,-105.064335174076,21.7836646747148,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=21.8236646747148,-105.024335174076&visible=21.7836646747148,-105.064335174076",Lake,4,,,,_untitled_23,,,-99,,4,5,,,,,,,,,,
N/A,,Zar‘ al ‘Atīyah,Ar Rayyan,Norway,,,-76.870625243702,51.3559096719081,-76.850625243702,51.3759096719081,-76.890625243702,51.3359096719081,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=51.3759096719081,-76.850625243702&visible=51.3359096719081,-76.890625243702",Lake,6,,,,_untitled_27,,,-99,,5,6.5,,,,,,,,,,
N/A,,Licchitore,Jubbada Hoose,Norway,,,-80.9666995691615,42.2469589398821,-80.9466995691615,42.2669589398821,-80.9866995691615,42.2269589398821,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=42.2669589398821,-80.9466995691615&visible=42.2269589398821,-80.9866995691615",Lake,0,Lake Erie,L. Erie,Great Lakes,,,,-99,admin-0,1,3,,,,,,,,,,
N/A,,,,,,,-91.4985303400966,51.1168860006772,-91.4785303400966,51.1368860006772,-91.5185303400966,51.0968860006772,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=51.1368860006772,-91.4785303400966&visible=51.0968860006772,-91.5185303400966",Lake,6,,,,_untitled_26,,,-99,,5,6.5,,,,,,,,,,
N/A,,,,,,,-106.014943671535,60.0219895746644,-105.994943671535,60.0419895746644,-106.034943671535,60.0019895746644,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=60.0419895746644,-105.994943671535&visible=60.0019895746644,-106.034943671535",Lake,4,Scott Lake,Scott L.,,,,,-99,,4,5,,,,,,,,,,
N/A,,Panama,Ampara,Heard and McDonald Islands,,,-70.9353501003392,81.800003069153,-70.9153501003392,81.820003069153,-70.9553501003392,81.780003069153,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=81.820003069153,-70.9153501003392&visible=81.780003069153,-70.9553501003392",Lake,4,,,,_untitled_9,,,-99,,4,5,,,,,,,,,,
N/A,,Berkeh Dokān,Hormozgan,Argentina,V9411XAF,,-89.2094685015836,52.9248704695199,-89.1894685015836,52.9448704695199,-89.2294685015836,52.9048704695199,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=52.9448704695199,-89.1894685015836&visible=52.9048704695199,-89.2294685015836",Lake,4,,,,_untitled_8,,,-99,,4,5,,,,,,,,,,
N/A,,Arfit,Dhofar,Heard and McDonald Islands,,,-70.9944418056121,53.2411647241229,-70.9744418056121,53.2611647241229,-71.0144418056121,53.2211647241229,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=53.2611647241229,-70.9744418056121&visible=53.2211647241229,-71.0144418056121",Lake,4,,,,_untitled_7,,,-99,,4,5,,,,,,,,,,
N/A,,,,,,,-101.996172560318,57.0213888447477,-101.976172560318,57.0413888447477,-102.016172560318,57.0013888447477,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=57.0413888447477,-101.976172560318&visible=57.0013888447477,-102.016172560318",Lake,4,,,,_untitled_0,,,-99,,4,5,,,,,,,,,,
N/A,,Ambinanin’i Sakaleona,Fianarantsoa,Heard and McDonald Islands,,,-75.948798046286,48.5447322578006,-75.928798046286,48.5647322578006,-75.968798046286,48.5247322578006,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=48.5647322578006,-75.928798046286&visible=48.5247322578006,-75.968798046286",Lake,7,,,,_untitled_114,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-110.328518274711,44.4321710376441,-110.308518274711,44.4521710376441,-110.348518274711,44.4121710376441,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=44.4521710376441,-110.308518274711&visible=44.4121710376441,-110.348518274711",Lake,4,Yellowstone Lake,Yellowstone L.,,,,,-99,,4,5,,,,,,,,,,
N/A,,,,,,,-153.522499844282,70.6030553064759,-153.502499844282,70.6230553064759,-153.542499844282,70.5830553064759,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=70.6230553064759,-153.502499844282&visible=70.5830553064759,-153.542499844282",Lake,4,Teshekpuk Lake,Teshekpuk L.,,,,,-99,,4,5,,,,,,,,,,
N/A,,,,,,,-114.10476928356,47.9016938220815,-114.08476928356,47.9216938220815,-114.12476928356,47.8816938220815,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=47.9216938220815,-114.08476928356&visible=47.8816938220815,-114.12476928356",Lake,4,Flathead Lake,Flathead L.,,,,,-99,,4,5,,,,,,,,,,
N/A,,Daţdaţ,Sistan and Baluchestan,Heard and McDonald Islands,,,-75.3578571064422,60.1101516307403,-75.3378571064422,60.1301516307403,-75.3778571064422,60.0901516307403,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=60.1301516307403,-75.3378571064422&visible=60.0901516307403,-75.3778571064422",Lake,7,,,,_untitled_68,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,Ambodiatafana,Toamasina,Norway,,,-77.4566813718123,50.0258253634636,-77.4366813718123,50.0458253634636,-77.4766813718123,50.0058253634636,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=50.0458253634636,-77.4366813718123&visible=50.0058253634636,-77.4766813718123",Lake,7,,,,_untitled_113,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-112.028107030535,58.5640040529813,-112.008107030535,58.5840040529813,-112.048107030535,58.5440040529813,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=58.5840040529813,-112.008107030535&visible=58.5440040529813,-112.048107030535",Lake,4,Lake Clare,L. Clare,,,,,-99,,4,5,,,,,,,,,,
N/A,,Ambinanivolo,Toamasina,Heard and McDonald Islands,,,-75.6112703143838,48.5672511135262,-75.5912703143838,48.5872511135262,-75.6312703143838,48.5472511135262,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=48.5872511135262,-75.5912703143838&visible=48.5472511135262,-75.6312703143838",Lake,7,,,,_untitled_112,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-104.341226464688,55.4181346263251,-104.321226464688,55.4381346263251,-104.361226464688,55.3981346263251,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=55.4381346263251,-104.321226464688&visible=55.3981346263251,-104.361226464688",Lake,7,,,,_untitled_29,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,Mahavelo,Fianarantsoa,Norway,,,-77.5206428975598,47.7974889210769,-77.5006428975598,47.8174889210769,-77.5406428975598,47.7774889210769,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=47.8174889210769,-77.5006428975598&visible=47.7774889210769,-77.5406428975598",Lake,7,,,,_untitled_111,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-134.179317812668,59.9826919636923,-134.159317812668,60.0026919636923,-134.199317812668,59.9626919636923,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=60.0026919636923,-134.159317812668&visible=59.9626919636923,-134.199317812668",Lake,8,,,,_untitled_46,,,-99,,6,7,,,,,,,,,,
N/A,,,,,,,-95.1986619946197,56.4462013403325,-95.1786619946197,56.4662013403325,-95.2186619946197,56.4262013403325,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=56.4662013403325,-95.1786619946197&visible=56.4262013403325,-95.2186619946197",Lake,7,,,,_untitled_28,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,Otjiperongo,Erongo,Argentina,V9411XAF,,-89.0611939656746,15.5797767527064,-89.0411939656746,15.5997767527064,-89.0811939656746,15.5597767527064,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=15.5997767527064,-89.0411939656746&visible=15.5597767527064,-89.0811939656746",Lake,5,Lago de Izabal,L. de Izabal,,,,,-99,,4.7,6,,,,,,,,,,
N/A,,,,,,,-105.468178441335,21.8665114158574,-105.448178441335,21.8865114158574,-105.488178441335,21.8465114158574,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=21.8865114158574,-105.448178441335&visible=21.8465114158574,-105.488178441335",Lake,8,,,,_untitled_42,,,-99,,6,7,,,,,,,,,,
N/A,,,,,,,-102.301896818829,54.0592026334217,-102.281896818829,54.0792026334217,-102.321896818829,54.0392026334217,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=54.0792026334217,-102.281896818829&visible=54.0392026334217,-102.321896818829",Lake,7,,,,_untitled_27,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,Tsirihina,Toliary,Norway,,,-79.4346044433804,47.2071416641143,-79.4146044433804,47.2271416641143,-79.4546044433804,47.1871416641143,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=47.2271416641143,-79.4146044433804&visible=47.1871416641143,-79.4546044433804",Lake,7,,,,_untitled_110,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-125.982007122264,67.1863708828586,-125.962007122264,67.2063708828586,-126.002007122264,67.1663708828586,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=67.2063708828586,-125.962007122264&visible=67.1663708828586,-126.002007122264",Lake,5,Colville Lake,Colville L.,,,,,-99,,4.7,6,,,,,,,,,,
N/A,,,,,,,-103.043322029609,20.2173363936022,-103.023322029609,20.2373363936022,-103.063322029609,20.1973363936022,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=20.2373363936022,-103.023322029609&visible=20.1973363936022,-103.063322029609",Lake,5,Lago de Chapala,L. de Chapala,,,,,-99,,4.7,6,,,,,,,,,,
N/A,,,,,,,-101.077189173698,54.0649427339008,-101.057189173698,54.0849427339008,-101.097189173698,54.0449427339008,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=54.0849427339008,-101.057189173698&visible=54.0449427339008,-101.097189173698",Lake,7,,,,_untitled_26,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-100.78698383198,54.2177177158822,-100.76698383198,54.2377177158822,-100.80698383198,54.1977177158822,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=54.2377177158822,-100.76698383198&visible=54.1977177158822,-100.80698383198",Lake,7,,,,_untitled_25,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-106.62629847051,71.0532852389237,-106.60629847051,71.0732852389237,-106.64629847051,71.0332852389237,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=71.0732852389237,-106.60629847051&visible=71.0332852389237,-106.64629847051",Lake,9,Zeta Lake,Zeta L.,,,,,-99,,7,8,,,,,,,,,,
N/A,,,,,,,-118.595150417946,65.0388373933695,-118.575150417946,65.0588373933695,-118.615150417946,65.0188373933695,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=65.0588373933695,-118.575150417946&visible=65.0188373933695,-118.615150417946",Lake,5,Hottah Lake,Hottah L.,,,,,-99,,4.7,6,,,,,,,,,,
N/A,,Tanambao-Sahaka,Toamasina,Heard and McDonald Islands,,,-68.3938217213307,49.5438041052855,-68.3738217213307,49.5638041052855,-68.4138217213307,49.5238041052855,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=49.5638041052855,-68.3738217213307&visible=49.5238041052855,-68.4138217213307",Lake,7,,,,_untitled_109,,,-99,,5.7,6.7,,,,,,,,,,
