,Latitude,Longitude,,,
519,143.240605,-33.524428,,,
520,154.999171,68.791538,,,
522,130.870831,-24.748403,,,
523,156.063455,69.479026,,,
525,155.633534,69.444732,,,
527,158.912649,70.534616,,,
528,122.997783,-26.261140,,,
531,172.065822,67.507522,,,
532,117.461779,-29.845907,,,
534,160.224679,54.820870,,,
535,122.330332,-29.121329,,,
536,139.771540,52.068860,,,
537,-155.412247,59.003343,,,
538,135.117170,-31.301096,,,
540,136.521170,51.484252,,,
541,-163.987458,60.961747,,,
542,135.045294,-18.263561,,,
543,-162.489868,61.038282,,,
545,-106.083076,55.727511,,,
546,118.197844,34.074233,,,
548,-99.450775,64.587724,,,
550,-108.824153,63.533459,,,
551,-103.020935,60.620726,,,
553,-102.970992,62.079300,,,
555,-125.267142,66.840640,,,
557,-104.461889,55.533378,,,
561,-110.336348,65.432697,,,
563,-97.650208,63.929379,,,
564,-98.469003,63.962937,,,
565,128.891937,-23.474837,,,
566,-98.873380,63.759531,,,
568,-101.389839,60.973374,,,
569,129.988668,-24.324224,,,
571,-101.138890,59.585595,,,
573,-97.291506,60.388620,,,
574,123.383734,-26.917131,,,
575,-99.426606,60.229075,,,
576,120.811565,-29.447926,,,
577,-124.588129,66.935278,,,
578,121.528534,-29.755242,,,
579,-162.365234,60.907731,,,
580,-107.850952,63.151963,,,
581,-163.770003,61.570051,,,
582,-135.163041,61.158088,,,
583,-94.251851,47.436451,,,
584,-97.500382,54.747720,,,
585,-100.204100,20.062795,,,
588,-91.552786,48.897822,,,
590,-111.200947,44.808810,,,
591,130.975911,-29.445866,,,
592,-95.992159,50.349773,,,
593,-113.394152,42.672021,,,
594,121.839935,-31.840224,,,
595,-91.843118,51.354438,,,
596,-105.845154,40.175371,,,
597,133.489491,-17.787575,,,
598,-91.889427,51.629668,,,
599,-99.361060,65.961227,,,
600,-107.652551,55.924588,,,
601,-112.576711,41.184010,,,
602,-159.022462,60.045686,,,
603,-93.541091,53.155652,,,
604,-158.769217,59.670077,,,
605,-97.657187,24.648400,,,
607,-92.920143,53.044382,,,
608,-158.856511,59.376007,,,
612,-158.867789,60.363599,,,
615,-109.353219,30.504627,,,
616,-158.734099,59.787823,,,
617,146.099599,-36.010922,,,
618,-108.527929,26.620345,,,
619,147.064947,-36.100703,,,
621,-102.344240,57.219790,,,
622,-115.868594,50.243066,,,
623,92.299080,22.755050,,,
625,-94.821833,49.423851,,,
630,-98.844679,50.997080,,,
632,-100.044725,52.380002,,,
634,-115.756786,33.305501,,,
635,-110.201260,59.035428,,,
636,-100.506977,63.667836,,,
638,-94.453302,18.037128,,,
642,-97.872205,22.143361,,,
643,-120.414890,41.944794,,,
644,-155.194920,59.559838,,,
645,-152.192575,63.894644,,,
646,-98.081601,22.217393,,,
647,-119.582003,40.056007,,,
648,-131.785881,67.697681,,,
649,-156.198293,57.854292,,,
650,-118.772937,43.340522,,,
651,-120.046055,39.098587,,,
658,-101.656513,63.120319,,,
661,-94.916825,64.126897,,,
662,126.782212,43.636505,,,
663,123.881860,45.713980,,,
666,-108.320779,56.168910,,,
668,-118.259117,63.343006,,,
669,-94.043229,71.547081,,,
671,-98.323185,72.608043,,,
672,-106.506185,72.074287,,,
674,-111.214347,69.206886,,,
675,-119.100077,43.237789,,,
676,-110.621738,69.066916,,,
678,-109.444193,69.752343,,,
680,-108.592252,69.299758,,,
681,-106.356715,57.469558,,,
683,-107.887639,69.623853,,,
684,-99.363382,62.998894,,,
685,-108.374720,69.809302,,,
686,-102.211299,60.287212,,,
687,-108.949547,70.029340,,,
688,-90.500927,30.265750,,,
689,-107.720549,69.763529,,,
690,-107.299196,69.656969,,,
692,-103.205477,69.791641,,,
693,-161.737704,60.503422,,,
694,-164.662235,61.528987,,,
695,-162.043952,60.304138,,,
696,-164.623936,62.064435,,,
697,-109.734065,54.896374,,,
698,-159.227360,59.107253,,,
700,-159.441489,59.102102,,,
701,-153.879021,60.978526,,,
702,-128.388870,66.912024,,,
703,-162.264836,62.235166,,,
704,-132.842997,67.990279,,,
705,-155.412861,58.711186,,,
706,-160.401828,61.625980,,,
707,-133.479692,68.214879,,,
708,-163.271832,61.046965,,,
709,-155.896738,58.516170,,,
710,-103.368326,66.432357,,,
711,-103.045389,65.014700,,,
712,-109.000460,65.417831,,,
713,-106.783992,64.330892,,,
714,-93.251945,51.165898,,,
715,-164.368247,60.330630,,,
716,-150.405516,60.428212,,,
717,-95.886530,62.903373,,,
718,-90.593851,52.788286,,,
719,-94.247586,53.852117,,,
720,-142.756425,63.102216,,,
721,-99.871635,63.996936,,,
724,-146.491019,61.895470,,,
725,-116.690068,68.260358,,,
728,-126.099843,68.635820,,,
730,-125.296164,68.280081,,,
731,-103.244841,55.244901,,,
733,-126.600655,68.127453,,,
735,-125.365293,65.506435,,,
736,-126.356084,65.470670,,,
737,90.392751,28.570360,,,
740,-118.323389,40.614268,,,
745,-44.498297,-21.396332,,,
750,146.098053,-42.896099,,,
753,146.144862,-42.713593,,,
756,102.592402,16.707927,,,
758,114.508960,23.910870,,,
763,104.028409,12.818200,,,
764,116.907267,32.369571,,,
772,-110.068695,54.539752,,,
774,-104.647927,54.915802,,,
775,-96.517725,18.255988,,,
777,-109.602527,29.136864,,,
779,-114.663397,35.490125,,,
786,-98.284970,57.156502,,,
803,117.400697,48.960816,,,
806,-103.491793,53.569528,,,
808,-100.458946,53.336392,,,
813,-97.653544,55.088741,,,
820,-94.760277,50.335349,,,
830,90.294109,40.510063,,,
833,116.059911,29.263440,,,
836,116.319407,30.043653,,,
838,116.175495,29.975213,,,
841,114.595457,30.219094,,,
844,92.349295,48.064772,,,
847,98.902175,2.615833,,,
851,-118.715471,52.408409,,,
852,-122.368157,40.818115,,,
863,100.721583,74.502203,,,
865,-45.223006,-18.622391,,,
869,149.121749,72.030648,,,
871,-92.961864,69.924840,,,
874,-93.693668,69.755581,,,
877,-118.208782,48.461722,,,
878,111.309581,62.700997,,,
880,-117.921064,50.432784,,,
881,91.034495,54.611577,,,
882,116.454847,30.171995,,,
883,-117.632120,51.765076,,,
885,117.710671,47.823099,,,
889,98.921106,17.294301,,,
892,100.459376,17.916145,,,
903,158.720799,70.060395,,,
906,160.208494,69.446499,,,
908,118.871084,31.478972,,,
909,113.284708,29.848783,,,
911,117.416739,31.581705,,,
918,141.851564,72.538794,,,
922,90.896847,28.989387,,,
925,97.255799,34.930686,,,
926,-101.687683,58.713099,,,
927,-102.347053,58.837027,,,
929,-102.898098,58.833347,,,
930,-104.240525,61.419483,,,
932,-97.825190,57.033605,,,
934,-98.462290,51.678533,,,
935,-99.786593,51.292033,,,
937,-99.561066,52.090937,,,
942,91.474491,32.029580,,,
960,99.359482,51.391528,,,
962,139.725472,53.447808,,,
966,140.348149,51.774054,,,
968,136.821166,50.029063,,,
971,118.836480,29.629335,,,
973,174.693722,64.570063,,,
974,108.832532,40.919230,,,
977,112.166820,28.920212,,,
978,136.094530,35.246244,,,
981,91.016499,50.152255,,,
984,90.350669,33.510820,,,
997,112.905973,29.320694,,,
1012,119.531577,31.595393,,,
1015,119.805914,31.589211,,,
1017,115.035268,30.103703,,,
1034,136.641584,51.995710,,,
1037,99.534999,72.300800,,,
1041,118.972203,31.112489,,,
1043,120.789929,31.416125,,,
1047,116.308193,28.515167,,,
1049,116.149402,28.496180,,,
1052,114.348043,30.534946,,,
1054,112.479895,29.177045,,,
1057,114.186403,30.248824,,,
1060,-97.840370,65.611228,,,
1061,116.185416,36.010855,,,
1063,-99.303053,65.531897,,,
1064,114.505294,30.787952,,,
1067,-99.641745,65.252840,,,
1068,114.251497,33.010401,,,
1069,-102.353130,65.094914,,,
1072,112.555348,33.335968,,,
1073,-95.192021,61.618326,,,
1075,116.672665,43.308583,,,
1076,111.958734,52.924282,,,
1089,-48.121805,-22.636193,,,
1090,117.257735,47.463974,,,
1091,117.572471,47.325623,,,
1092,124.365676,46.168919,,,
1094,124.265625,45.363245,,,
1095,117.516008,45.496150,,,
1096,94.981382,66.838285,,,
1097,93.816698,66.788685,,,
1098,93.520741,67.044193,,,
1099,92.827658,67.258932,,,
1113,92.768621,50.339618,,,
1115,100.113266,36.878788,,,
1129,167.952180,-45.016698,,,
1130,93.270413,47.898897,,,
1131,168.571199,-45.086503,,,
1133,170.173032,-44.043961,,,
1135,167.544579,-45.513563,,,
1136,167.772354,-45.185689,,,
1140,169.126452,-44.513682,,,
1141,169.287348,-44.447295,,,
1145,93.373607,49.145529,,,
1146,176.271307,-38.087902,,,
1148,175.223669,-41.226054,,,
1150,170.213613,-44.450977,,,
1152,171.492660,-43.290324,,,
1154,177.098641,-38.762055,,,
1156,167.303170,-45.954361,,,
1157,167.101776,-46.057510,,,
1159,167.470849,-45.857279,,,
1161,172.643558,-41.857450,,,
1162,172.840223,-41.833715,,,
1164,169.214824,-45.042496,,,
1166,93.443133,48.906653,,,
1172,175.937636,-38.805462,,,
1174,170.526193,-43.891119,,,
1175,169.846979,-44.226880,,,
1192,116.445260,-0.256572,,,
1193,111.858468,52.858050,,,
1194,116.191778,-0.446142,,,
1195,111.493129,52.612109,,,
1196,120.992595,14.024062,,,
1197,111.649554,52.651112,,,
1198,114.110847,30.206583,,,
1199,109.522844,72.990937,,,
1200,106.422126,51.197836,,,
1201,111.532893,52.546318,,,
1202,111.237958,55.844668,,,
1203,113.105047,52.328047,,,
1204,111.768647,55.309514,,,
1205,112.998130,52.269763,,,
1206,113.552659,55.355435,,,
1207,112.761684,52.205739,,,
1208,113.040031,55.222677,,,
1209,112.528086,51.999390,,,
1210,112.433069,54.854575,,,
1211,116.317400,50.476202,,,
1212,112.263602,54.835735,,,
1213,116.351773,50.479146,,,
1214,97.323285,48.838802,,,
1215,99.105439,49.227215,,,
1216,115.588770,49.516575,,,
1218,115.822837,49.509069,,,
1219,116.118538,49.389557,,,
1220,-49.873147,-19.956744,,,
1221,116.352613,32.280084,,,
1222,116.783790,30.283412,,,
1223,117.103710,30.383202,,,
1224,114.950258,30.255447,,,
1225,115.029244,30.315056,,,
1226,114.650974,30.238816,,,
1227,114.359436,30.429122,,,
1228,114.311014,30.500506,,,
1229,90.866948,68.954027,,,
1230,91.454027,69.090612,,,
1231,90.178849,69.290486,,,
1233,92.053052,73.874103,,,
1236,90.985167,24.163582,,,
1237,-50.151645,-21.351441,,,
1242,121.207760,14.350512,,,
1252,92.558659,68.110086,,,
1253,141.526468,-6.989121,,,
1254,92.132815,35.220782,,,
1267,-45.878649,-21.030290,,,
1272,117.366405,38.726953,,,
1274,-112.539754,69.928078,,,
1275,119.334977,32.946524,,,
1280,114.592987,30.639004,,,
1283,124.271841,45.261984,,,
1284,-49.505478,-21.448876,,,
1286,-100.555526,20.080310,,,
1294,118.569171,33.257226,,,
1295,100.488785,51.030196,,,
1298,132.432513,44.936858,,,
1300,-50.802301,-20.847931,,,
1301,-46.825913,-20.439795,,,
1302,-47.709700,-18.346719,,,
1303,-53.238541,-32.879623,,,
1309,-56.056709,-32.701091,,,
1312,-50.198165,-18.663749,,,
1316,149.175838,-32.725671,,,
1320,-74.698087,49.642269,,,
1331,-74.602876,48.542525,,,
1332,-118.138880,49.578981,,,
1333,-101.225920,29.548385,,,
1335,-120.450922,48.087732,,,
1336,-119.633944,37.030532,,,
1338,-99.294781,43.522880,,,
1339,-99.231284,26.811829,,,
1340,-89.030774,66.554518,,,
1342,-111.545443,46.508027,,,
1343,-110.665858,43.948531,,,
1344,-94.574351,47.425118,,,
1345,-89.030774,66.554518,,,
1347,-125.230048,67.015345,,,
1348,-96.220633,63.628980,,,
1349,-91.031267,49.904695,,,
1350,-90.700968,50.092057,,,
1351,-90.965815,49.791217,,,
1352,-93.994804,50.302233,,,
1353,-91.854252,50.015817,,,
In [ ]:,,,,,
"
",,,,,
"



",,,,,
 ,,,,,
"
",,,,,
​,,,,,
"

",,,,,
"
",,,,,
